On the 0th level of the search tree
- Adding the 19 feature with accuracy: 0.7532
- Adding the 20 feature with accuracy: 0.7494
- Adding the 21 feature with accuracy: 0.7546
- Adding the 23 feature with accuracy: 0.7542
- Adding the 25 feature with accuracy: 0.7552
- Adding the 26 feature with accuracy: 0.7476
- Adding the 27 feature with accuracy: 0.7582
- Adding the 28 feature with accuracy: 0.7528
- Adding the 29 feature with accuracy: 0.7566
- Adding the 30 feature with accuracy: 0.7546
- Adding the 31 feature with accuracy: 0.7558
- Adding the 32 feature with accuracy: 0.7508
- Adding the 34 feature with accuracy: 0.7546
- Adding the 35 feature with accuracy: 0.7554
- Adding the 36 feature with accuracy: 0.757
- Adding the 37 feature with accuracy: 0.7616
- Adding the 38 feature with accuracy: 0.7548
- Adding the 40 feature with accuracy: 0.754
- Adding the 41 feature with accuracy: 0.7486
- Adding the 42 feature with accuracy: 0.754
- Adding the 44 feature with accuracy: 0.7568
- Adding the 45 feature with accuracy: 0.7528
- Adding the 47 feature with accuracy: 0.7458
- Adding the 48 feature with accuracy: 0.7528
- Adding the 49 feature with accuracy: 0.7602
- Adding the 50 feature with accuracy: 0.759

**Warning, Accuracy has decreased! Continuing search in case of local maxima**

On level 13, added feature 36 to current set. With current features: [9, 3, 45, 17, 0, 7, 21, 32, 42, 16, 38, 2, 23, 36] and local maximum accuracy 0.7616

On the 14th level of the search tree
- Adding the 2 feature with accuracy: 0.7422
- Adding the 5 feature with accuracy: 0.7434
- Adding the 6 feature with accuracy: 0.7482
- Adding the 7 feature with accuracy: 0.7452
- Adding the 9 feature with accuracy: 0.7474
- Adding the 11 feature with accuracy: 0.7542
- Adding the 12 feature with accuracy: 0.7516
- Adding the 13 feature with accuracy: 0.745
- Adding the 14 feature with accuracy: 0.7506
- Adding the 15 feature with accuracy: 0.7404
- Adding the 16 feature with accuracy: 0.7414
- Adding the 19 feature with accuracy: 0.7428
- Adding the 20 feature with accuracy: 0.7474
- Adding the 21 feature with accuracy: 0.7432
- Adding the 23 feature with accuracy: 0.7474
- Adding the 25 feature with accuracy: 0.7488
- Adding the 26 feature with accuracy: 0.7432
- Adding the 27 feature with accuracy: 0.7452
- Adding the 28 feature with accuracy: 0.7454
- Adding the 29 feature with accuracy: 0.7468
- Adding the 30 feature with accuracy: 0.7438
- Adding the 31 feature with accuracy: 0.7406
- Adding the 32 feature with accuracy: 0.7536
- Adding the 34 feature with accuracy: 0.7458
- Adding the 35 feature with accuracy: 0.752
- Adding the 36 feature with accuracy: 0.745
- Adding the 38 feature with accuracy: 0.749
- Adding the 40 feature with accuracy: 0.7486
- Adding the 41 feature with accuracy: 0.7436
- Adding the 42 feature with accuracy: 0.7454
- Adding the 44 feature with accuracy: 0.7546
- Adding the 45 feature with accuracy: 0.7506
- Adding the 47 feature with accuracy: 0.7464
- Adding the 48 feature with accuracy: 0.739
- Adding the 49 feature with accuracy: 0.75
- Adding the 50 feature with accuracy: 0.745

**Warning, Accuracy has decreased! Continuing search in case of local maxima**

On level 14, added feature 43 to current set. With current features: [9, 3, 45, 17, 0, 7, 21, 32, 42, 16, 38, 2, 23, 36, 43] and local maximum accuracy 0.7546

On the 15th level of the search tree
- Adding the 2 feature with accuracy: 0.7396
- Adding the 5 feature with accuracy: 0.7346
- Adding the 6 feature with accuracy: 0.7426
- Adding the 7 feature with accuracy: 0.7354
- Adding the 9 feature with accuracy: 0.7382
- Adding the 11 feature with accuracy: 0.7446
- Adding the 12 feature with accuracy: 0.7466
- Adding the 13 feature with accuracy: 0.7338
- Adding the 14 feature with accuracy: 0.7408
- Adding the 15 feature with accuracy: 0.7328
- Adding the 16 feature with accuracy: 0.7446
- Adding the 19 feature with accuracy: 0.738
- Adding the 20 feature with accuracy: 0.7364
- Adding the 21 feature with accuracy: 0.7384
- Adding the 23 feature with accuracy: 0.7354
- Adding the 25 feature with accuracy: 0.7378
- Adding the 26 feature with accuracy: 0.7306
- Adding the 27 feature with accuracy: 0.7394
- Adding the 28 feature with accuracy: 0.7388
- Adding the 29 feature with accuracy: 0.743
- Adding the 30 feature with accuracy: 0.7436
- Adding the 31 feature with accuracy: 0.7458
- Adding the 32 feature with accuracy: 0.7386
- Adding the 34 feature with accuracy: 0.7412
- Adding the 35 feature with accuracy: 0.7382
- Adding the 36 feature with accuracy: 0.7368
- Adding the 38 feature with accuracy: 0.7432
- Adding the 40 feature with accuracy: 0.7498
- Adding the 41 feature with accuracy: 0.7352
- Adding the 42 feature with accuracy: 0.741
- Adding the 45 feature with accuracy: 0.7442
- Adding the 47 feature with accuracy: 0.74
- Adding the 48 feature with accuracy: 0.734
- Adding the 49 feature with accuracy: 0.735
- Adding the 50 feature with accuracy: 0.738

**Warning, Accuracy has decreased! Continuing search in case of local maxima**

On level 15, added feature 39 to current set. With current features: [9, 3, 45, 17, 0, 7, 21, 32, 42, 16, 38, 2, 23, 36, 43, 39] and local maximum accuracy 0.7498

On the 16th level of the search tree
- Adding the 2 feature with accuracy: 0.733
- Adding the 5 feature with accuracy: 0.7276
- Adding the 6 feature with accuracy: 0.7326
- Adding the 7 feature with accuracy: 0.7358
- Adding the 9 feature with accuracy: 0.7298
- Adding the 11 feature with accuracy: 0.741
- Adding the 12 feature with accuracy: 0.7424
- Adding the 13 feature with accuracy: 0.7232
- Adding the 14 feature with accuracy: 0.7382
- Adding the 15 feature with accuracy: 0.7272
- Adding the 16 feature with accuracy: 0.7416
- Adding the 19 feature with accuracy: 0.7426
- Adding the 20 feature with accuracy: 0.7336
- Adding the 21 feature with accuracy: 0.7294
- Adding the 23 feature with accuracy: 0.7376
- Adding the 25 feature with accuracy: 0.7354
- Adding the 26 feature with accuracy: 0.733
- Adding the 27 feature with accuracy: 0.7332
- Adding the 28 feature with accuracy: 0.735
- Adding the 29 feature with accuracy: 0.7378
- Adding the 30 feature with accuracy: 0.7396
- Adding the 31 feature with accuracy: 0.7434
- Adding the 32 feature with accuracy: 0.7344
- Adding the 34 feature with accuracy: 0.7344
- Adding the 35 feature with accuracy: 0.7304
- Adding the 36 feature with accuracy: 0.735
- Adding the 38 feature with accuracy: 0.7408
- Adding the 41 feature with accuracy: 0.7308
- Adding the 42 feature with accuracy: 0.7302
- Adding the 45 feature with accuracy: 0.735
- Adding the 47 feature with accuracy: 0.726
- Adding the 48 feature with accuracy: 0.7332
- Adding the 49 feature with accuracy: 0.7332
- Adding the 50 feature with accuracy: 0.7366

**Warning, Accuracy has decreased! Continuing search in case of local maxima**

On level 16, added feature 30 to current set. With current features: [9, 3, 45, 17, 0, 7, 21, 32, 42, 16, 38, 2, 23, 36, 43, 39, 30] and local maximum accuracy 0.7434

On the 17th level of the search tree
- Adding the 2 feature with accuracy: 0.7332
- Adding the 5 feature with accuracy: 0.729
- Adding the 6 feature with accuracy: 0.7256
- Adding the 7 feature with accuracy: 0.7304
- Adding the 9 feature with accuracy: 0.7244
- Adding the 11 feature with accuracy: 0.7292
- Adding the 12 feature with accuracy: 0.7354
- Adding the 13 feature with accuracy: 0.7252
- Adding the 14 feature with accuracy: 0.7312
- Adding the 15 feature with accuracy: 0.7254
- Adding the 16 feature with accuracy: 0.7332
- Adding the 19 feature with accuracy: 0.7314
- Adding the 20 feature with accuracy: 0.731
- Adding the 21 feature with accuracy: 0.731
- Adding the 23 feature with accuracy: 0.7286
- Adding the 25 feature with accuracy: 0.7264
- Adding the 26 feature with accuracy: 0.7342
- Adding the 27 feature with accuracy: 0.7226
- Adding the 28 feature with accuracy: 0.735
- Adding the 29 feature with accuracy: 0.7322
- Adding the 30 feature with accuracy: 0.7264
- Adding the 32 feature with accuracy: 0.7298
- Adding the 34 feature with accuracy: 0.7392
- Adding the 35 feature with accuracy: 0.7256
- Adding the 36 feature with accuracy: 0.7264
- Adding the 38 feature with accuracy: 0.7338
- Adding the 41 feature with accuracy: 0.7304
- Adding the 42 feature with accuracy: 0.7252
- Adding the 45 feature with accuracy: 0.7308
- Adding the 47 feature with accuracy: 0.722
- Adding the 48 feature with accuracy: 0.7336
- Adding the 49 feature with accuracy: 0.728
- Adding the 50 feature with accuracy: 0.726

**Warning, Accuracy has decreased! Continuing search in case of local maxima**

On level 17, added feature 33 to current set. With current features: [9, 3, 45, 17, 0, 7, 21, 32, 42, 16, 38, 2, 23, 36, 43, 39, 30, 33] and local maximum accuracy 0.7392

On the 18th level of the search tree
- Adding the 2 feature with accuracy: 0.7304
- Adding the 5 feature with accuracy: 0.7258
- Adding the 6 feature with accuracy: 0.7274
- Adding the 7 feature with accuracy: 0.7202
- Adding the 9 feature with accuracy: 0.7242
- Adding the 11 feature with accuracy: 0.7272
- Adding the 12 feature with accuracy: 0.7322
- Adding the 13 feature with accuracy: 0.7202
- Adding the 14 feature with accuracy: 0.7228
- Adding the 15 feature with accuracy: 0.7192
- Adding the 16 feature with accuracy: 0.7236
- Adding the 19 feature with accuracy: 0.7196
- Adding the 20 feature with accuracy: 0.7264
- Adding the 21 feature with accuracy: 0.7214
- Adding the 23 feature with accuracy: 0.72
- Adding the 25 feature with accuracy: 0.722
- Adding the 26 feature with accuracy: 0.72
- Adding the 27 feature with accuracy: 0.7242
- Adding the 28 feature with accuracy: 0.7236
- Adding the 29 feature with accuracy: 0.729
- Adding the 30 feature with accuracy: 0.7224
- Adding the 32 feature with accuracy: 0.7252
- Adding the 35 feature with accuracy: 0.7262
- Adding the 36 feature with accuracy: 0.7254
- Adding the 38 feature with accuracy: 0.7238
- Adding the 41 feature with accuracy: 0.7268
- Adding the 42 feature with accuracy: 0.7232
- Adding the 45 feature with accuracy: 0.7296
- Adding the 47 feature with accuracy: 0.7238
- Adding the 48 feature with accuracy: 0.7236
- Adding the 49 feature with accuracy: 0.7258
- Adding the 50 feature with accuracy: 0.7236

**Warning, Accuracy has decreased! Continuing search in case of local maxima**

On level 18, added feature 11 to current set. With current features: [9, 3, 45, 17, 0, 7, 21, 32, 42, 16, 38, 2, 23, 36, 43, 39, 30, 33, 11] and local maximum accuracy 0.7322

On the 19th level of the search tree
- Adding the 2 feature with accuracy: 0.7216
- Adding the 5 feature with accuracy: 0.7232
- Adding the 6 feature with accuracy: 0.7236
- Adding the 7 feature with accuracy: 0.7248
- Adding the 9 feature with accuracy: 0.7224
- Adding the 11 feature with accuracy: 0.7224
- Adding the 13 feature with accuracy: 0.7276
- Adding the 14 feature with accuracy: 0.7252
- Adding the 15 feature with accuracy: 0.7124
- Adding the 16 feature with accuracy: 0.7242
- Adding the 19 feature with accuracy: 0.7202
- Adding the 20 feature with accuracy: 0.7282
- Adding the 21 feature with accuracy: 0.724
- Adding the 23 feature with accuracy: 0.7266
- Adding the 25 feature with accuracy: 0.72
- Adding the 26 feature with accuracy: 0.7252
- Adding the 27 feature with accuracy: 0.7214
- Adding the 28 feature with accuracy: 0.7278
- Adding the 29 feature with accuracy: 0.723
- Adding the 30 feature with accuracy: 0.728
- Adding the 32 feature with accuracy: 0.7216
- Adding the 35 feature with accuracy: 0.7278
- Adding the 36 feature with accuracy: 0.7214
- Adding the 38 feature with accuracy: 0.726
- Adding the 41 feature with accuracy: 0.7228
- Adding the 42 feature with accuracy: 0.716
- Adding the 45 feature with accuracy: 0.7238
- Adding the 47 feature with accuracy: 0.72
- Adding the 48 feature with accuracy: 0.7204
- Adding the 49 feature with accuracy: 0.7158
- Adding the 50 feature with accuracy: 0.7234

**Warning, Accuracy has decreased! Continuing search in case of local maxima**

On level 19, added feature 19 to current set. With current features: [9, 3, 45, 17, 0, 7, 21, 32, 42, 16, 38, 2, 23, 36, 43, 39, 30, 33, 11, 19] and local maximum accuracy 0.7282

On the 20th level of the search tree
- Adding the 2 feature with accuracy: 0.7124
- Adding the 5 feature with accuracy: 0.7226
- Adding the 6 feature with accuracy: 0.7286
- Adding the 7 feature with accuracy: 0.7204
- Adding the 9 feature with accuracy: 0.7234
- Adding the 11 feature with accuracy: 0.7202
- Adding the 13 feature with accuracy: 0.7226
- Adding the 14 feature with accuracy: 0.7252
- Adding the 15 feature with accuracy: 0.712
- Adding the 16 feature with accuracy: 0.7218
- Adding the 19 feature with accuracy: 0.7138
- Adding the 21 feature with accuracy: 0.7198
- Adding the 23 feature with accuracy: 0.7214
- Adding the 25 feature with accuracy: 0.724
- Adding the 26 feature with accuracy: 0.7204
- Adding the 27 feature with accuracy: 0.723
- Adding the 28 feature with accuracy: 0.7194
- Adding the 29 feature with accuracy: 0.7198
- Adding the 30 feature with accuracy: 0.7238
- Adding the 32 feature with accuracy: 0.7136
- Adding the 35 feature with accuracy: 0.7188
- Adding the 36 feature with accuracy: 0.7224
- Adding the 38 feature with accuracy: 0.7318
- Adding the 41 feature with accuracy: 0.7182
- Adding the 42 feature with accuracy: 0.7186
- Adding the 45 feature with accuracy: 0.7278
- Adding the 47 feature with accuracy: 0.7172
- Adding the 48 feature with accuracy: 0.7224
- Adding the 49 feature with accuracy: 0.7202
- Adding the 50 feature with accuracy: 0.723

**Warning, Accuracy has decreased! Continuing search in case of local maxima**

On level 20, added feature 37 to current set. With current features: [9, 3, 45, 17, 0, 7, 21, 32, 42, 16, 38, 2, 23, 36, 43, 39, 30, 33, 11, 19, 37] and local maximum accuracy 0.7318

On the 21th level of the search tree
- Adding the 2 feature with accuracy: 0.713
- Adding the 5 feature with accuracy: 0.7236
- Adding the 6 feature with accuracy: 0.727
- Adding the 7 feature with accuracy: 0.7194
- Adding the 9 feature with accuracy: 0.718
- Adding the 11 feature with accuracy: 0.7134
- Adding the 13 feature with accuracy: 0.7164
- Adding the 14 feature with accuracy: 0.7266
- Adding the 15 feature with accuracy: 0.7088
- Adding the 16 feature with accuracy: 0.7108
- Adding the 19 feature with accuracy: 0.707
- Adding the 21 feature with accuracy: 0.7148
- Adding the 23 feature with accuracy: 0.7194
- Adding the 25 feature with accuracy: 0.718
- Adding the 26 feature with accuracy: 0.7174
- Adding the 27 feature with accuracy: 0.7206
- Adding the 28 feature with accuracy: 0.7162
- Adding the 29 feature with accuracy: 0.718
- Adding the 30 feature with accuracy: 0.7262
- Adding the 32 feature with accuracy: 0.7132
- Adding the 35 feature with accuracy: 0.7186
- Adding the 36 feature with accuracy: 0.7212
- Adding the 41 feature with accuracy: 0.7148
- Adding the 42 feature with accuracy: 0.7154
- Adding the 45 feature with accuracy: 0.7168
- Adding the 47 feature with accuracy: 0.7106
- Adding the 48 feature with accuracy: 0.7186
- Adding the 49 feature with accuracy: 0.7152
- Adding the 50 feature with accuracy: 0.7168

**Warning, Accuracy has decreased! Continuing search in case of local maxima**

On level 21, added feature 5 to current set. With current features: [9, 3, 45, 17, 0, 7, 21, 32, 42, 16, 38, 2, 23, 36, 43, 39, 30, 33, 11, 19, 37, 5] and local maximum accuracy 0.727

On the 22th level of the search tree
- Adding the 2 feature with accuracy: 0.719
- Adding the 5 feature with accuracy: 0.7238
- Adding the 7 feature with accuracy: 0.7236
- Adding the 9 feature with accuracy: 0.7138
- Adding the 11 feature with accuracy: 0.7096
- Adding the 13 feature with accuracy: 0.7158
- Adding the 14 feature with accuracy: 0.7222
- Adding the 15 feature with accuracy: 0.7116
- Adding the 16 feature with accuracy: 0.717
- Adding the 19 feature with accuracy: 0.712
- Adding the 21 feature with accuracy: 0.715
- Adding the 23 feature with accuracy: 0.7148
- Adding the 25 feature with accuracy: 0.7104
- Adding the 26 feature with accuracy: 0.7152
- Adding the 27 feature with accuracy: 0.7136
- Adding the 28 feature with accuracy: 0.72
- Adding the 29 feature with accuracy: 0.7108
- Adding the 30 feature with accuracy: 0.7196
- Adding the 32 feature with accuracy: 0.7058
- Adding the 35 feature with accuracy: 0.7136
- Adding the 36 feature with accuracy: 0.7154
- Adding the 41 feature with accuracy: 0.7082
- Adding the 42 feature with accuracy: 0.7144
- Adding the 45 feature with accuracy: 0.712
- Adding the 47 feature with accuracy: 0.7084
- Adding the 48 feature with accuracy: 0.7138
- Adding the 49 feature with accuracy: 0.7168
- Adding the 50 feature with accuracy: 0.7188

**Warning, Accuracy has decreased! Continuing search in case of local maxima**

On level 22, added feature 4 to current set. With current features: [9, 3, 45, 17, 0, 7, 21, 32, 42, 16, 38, 2, 23, 36, 43, 39, 30, 33, 11, 19, 37, 5, 4] and local maximum accuracy 0.7238

On the 23th level of the search tree
- Adding the 2 feature with accuracy: 0.7176
- Adding the 7 feature with accuracy: 0.7132
- Adding the 9 feature with accuracy: 0.7112
- Adding the 11 feature with accuracy: 0.7066
- Adding the 13 feature with accuracy: 0.7092
- Adding the 14 feature with accuracy: 0.7164
- Adding the 15 feature with accuracy: 0.715
- Adding the 16 feature with accuracy: 0.7268
- Adding the 19 feature with accuracy: 0.7108
- Adding the 21 feature with accuracy: 0.7154
- Adding the 23 feature with accuracy: 0.7118
- Adding the 25 feature with accuracy: 0.7188
- Adding the 26 feature with accuracy: 0.7192
- Adding the 27 feature with accuracy: 0.7132
- Adding the 28 feature with accuracy: 0.7216
- Adding the 29 feature with accuracy: 0.7162
- Adding the 30 feature with accuracy: 0.718
- Adding the 32 feature with accuracy: 0.7162
- Adding the 35 feature with accuracy: 0.714
- Adding the 36 feature with accuracy: 0.7118
- Adding the 41 feature with accuracy: 0.7142
- Adding the 42 feature with accuracy: 0.715
- Adding the 45 feature with accuracy: 0.7096
- Adding the 47 feature with accuracy: 0.715
- Adding the 48 feature with accuracy: 0.7152
- Adding the 49 feature with accuracy: 0.711
- Adding the 50 feature with accuracy: 0.7096

**Warning, Accuracy has decreased! Continuing search in case of local maxima**

On level 23, added feature 15 to current set. With current features: [9, 3, 45, 17, 0, 7, 21, 32, 42, 16, 38, 2, 23, 36, 43, 39, 30, 33, 11, 19, 37, 5, 4, 15] and local maximum accuracy 0.7268

On the 24th level of the search tree
- Adding the 2 feature with accuracy: 0.7144
- Adding the 7 feature with accuracy: 0.7126
- Adding the 9 feature with accuracy: 0.7118
- Adding the 11 feature with accuracy: 0.7092
- Adding the 13 feature with accuracy: 0.7102
- Adding the 14 feature with accuracy: 0.7168
- Adding the 15 feature with accuracy: 0.7114
- Adding the 19 feature with accuracy: 0.71
- Adding the 21 feature with accuracy: 0.7176
- Adding the 23 feature with accuracy: 0.7106
- Adding the 25 feature with accuracy: 0.71
- Adding the 26 feature with accuracy: 0.7108
- Adding the 27 feature with accuracy: 0.7126
- Adding the 28 feature with accuracy: 0.7112
- Adding the 29 feature with accuracy: 0.7126
- Adding the 30 feature with accuracy: 0.718
- Adding the 32 feature with accuracy: 0.7086
- Adding the 35 feature with accuracy: 0.7168
- Adding the 36 feature with accuracy: 0.7072
- Adding the 41 feature with accuracy: 0.707
- Adding the 42 feature with accuracy: 0.7148
- Adding the 45 feature with accuracy: 0.7064
- Adding the 47 feature with accuracy: 0.715
- Adding the 48 feature with accuracy: 0.7108
- Adding the 49 feature with accuracy: 0.713
- Adding the 50 feature with accuracy: 0.709

**Warning, Accuracy has decreased! Continuing search in case of local maxima**

On level 24, added feature 29 to current set. With current features: [9, 3, 45, 17, 0, 7, 21, 32, 42, 16, 38, 2, 23, 36, 43, 39, 30, 33, 11, 19, 37, 5, 4, 15, 29] and local maximum accuracy 0.718

On the 25th level of the search tree
- Adding the 2 feature with accuracy: 0.7082
- Adding the 7 feature with accuracy: 0.7076
- Adding the 9 feature with accuracy: 0.701
- Adding the 11 feature with accuracy: 0.7124
- Adding the 13 feature with accuracy: 0.702
- Adding the 14 feature with accuracy: 0.7122
- Adding the 15 feature with accuracy: 0.7064
- Adding the 19 feature with accuracy: 0.706
- Adding the 21 feature with accuracy: 0.7076
- Adding the 23 feature with accuracy: 0.7086
- Adding the 25 feature with accuracy: 0.702
- Adding the 26 feature with accuracy: 0.7092
- Adding the 27 feature with accuracy: 0.7052
- Adding the 28 feature with accuracy: 0.702
- Adding the 29 feature with accuracy: 0.7092
- Adding the 32 feature with accuracy: 0.6962
- Adding the 35 feature with accuracy: 0.7062
- Adding the 36 feature with accuracy: 0.7076
- Adding the 41 feature with accuracy: 0.7038
- Adding the 42 feature with accuracy: 0.7116
- Adding the 45 feature with accuracy: 0.705
- Adding the 47 feature with accuracy: 0.7126
- Adding the 48 feature with accuracy: 0.712
- Adding the 49 feature with accuracy: 0.7106
- Adding the 50 feature with accuracy: 0.7136

**Warning, Accuracy has decreased! Continuing search in case of local maxima**

On level 25, added feature 49 to current set. With current features: [9, 3, 45, 17, 0, 7, 21, 32, 42, 16, 38, 2, 23, 36, 43, 39, 30, 33, 11, 19, 37, 5, 4, 15, 29, 49] and local maximum accuracy 0.7136

On the 26th level of the search tree
- Adding the 2 feature with accuracy: 0.704
- Adding the 7 feature with accuracy: 0.7068
- Adding the 9 feature with accuracy: 0.7046
- Adding the 11 feature with accuracy: 0.7096
- Adding the 13 feature with accuracy: 0.7088
- Adding the 14 feature with accuracy: 0.7094
- Adding the 15 feature with accuracy: 0.6964
- Adding the 19 feature with accuracy: 0.7046
- Adding the 21 feature with accuracy: 0.7022
- Adding the 23 feature with accuracy: 0.7086
- Adding the 25 feature with accuracy: 0.702
- Adding the 26 feature with accuracy: 0.7052
- Adding the 27 feature with accuracy: 0.7028
- Adding the 28 feature with accuracy: 0.708
- Adding the 29 feature with accuracy: 0.703
- Adding the 32 feature with accuracy: 0.7024
- Adding the 35 feature with accuracy: 0.705
- Adding the 36 feature with accuracy: 0.7014
- Adding the 41 feature with accuracy: 0.701
- Adding the 42 feature with accuracy: 0.7086
- Adding the 45 feature with accuracy: 0.705
- Adding the 47 feature with accuracy: 0.7078
- Adding the 48 feature with accuracy: 0.7026
- Adding the 49 feature with accuracy: 0.702

**Warning, Accuracy has decreased! Continuing search in case of local maxima**

On level 26, added feature 10 to current set. With current features: [9, 3, 45, 17, 0, 7, 21, 32, 42, 16, 38, 2, 23, 36, 43, 39, 30, 33, 11, 19, 37, 5, 4, 15, 29, 49, 10] and local maximum accuracy 0.7096

On the 27th level of the search tree
- Adding the 2 feature with accuracy: 0.6946
- Adding the 7 feature with accuracy: 0.7002
- Adding the 9 feature with accuracy: 0.6914
- Adding the 13 feature with accuracy: 0.7054
- Adding the 14 feature with accuracy: 0.7038
- Adding the 15 feature with accuracy: 0.6966
- Adding the 19 feature with accuracy: 0.703
- Adding the 21 feature with accuracy: 0.7024
- Adding the 23 feature with accuracy: 0.7122
- Adding the 25 feature with accuracy: 0.704
- Adding the 26 feature with accuracy: 0.7046
- Adding the 27 feature with accuracy: 0.699
- Adding the 28 feature with accuracy: 0.7028
- Adding the 29 feature with accuracy: 0.6976
- Adding the 32 feature with accuracy: 0.6998
- Adding the 35 feature with accuracy: 0.7032
- Adding the 36 feature with accuracy: 0.696
- Adding the 41 feature with accuracy: 0.6944
- Adding the 42 feature with accuracy: 0.7106
- Adding the 45 feature with accuracy: 0.7014
- Adding the 47 feature with accuracy: 0.7102
- Adding the 48 feature with accuracy: 0.6942
- Adding the 49 feature with accuracy: 0.6968

**Warning, Accuracy has decreased! Continuing search in case of local maxima**

On level 27, added feature 22 to current set. With current features: [9, 3, 45, 17, 0, 7, 21, 32, 42, 16, 38, 2, 23, 36, 43, 39, 30, 33, 11, 19, 37, 5, 4, 15, 29, 49, 10, 22] and local maximum accuracy 0.7122

On the 28th level of the search tree
- Adding the 2 feature with accuracy: 0.6976
- Adding the 7 feature with accuracy: 0.7026
- Adding the 9 feature with accuracy: 0.695
- Adding the 13 feature with accuracy: 0.7008
- Adding the 14 feature with accuracy: 0.7018
- Adding the 15 feature with accuracy: 0.6958
- Adding the 19 feature with accuracy: 0.701
- Adding the 21 feature with accuracy: 0.6974
- Adding the 25 feature with accuracy: 0.7006
- Adding the 26 feature with accuracy: 0.7078
- Adding the 27 feature with accuracy: 0.7004
- Adding the 28 feature with accuracy: 0.7054
- Adding the 29 feature with accuracy: 0.7024
- Adding the 32 feature with accuracy: 0.6992
- Adding the 35 feature with accuracy: 0.7056
- Adding the 36 feature with accuracy: 0.7046
- Adding the 41 feature with accuracy: 0.7022
- Adding the 42 feature with accuracy: 0.7128
- Adding the 45 feature with accuracy: 0.7074
- Adding the 47 feature with accuracy: 0.7064
- Adding the 48 feature with accuracy: 0.6978
- Adding the 49 feature with accuracy: 0.6928

**Warning, Accuracy has decreased! Continuing search in case of local maxima**

On level 28, added feature 41 to current set. With current features: [9, 3, 45, 17, 0, 7, 21, 32, 42, 16, 38, 2, 23, 36, 43, 39, 30, 33, 11, 19, 37, 5, 4, 15, 29, 49, 10, 22, 41] and local maximum accuracy 0.7128

On the 29th level of the search tree
- Adding the 2 feature with accuracy: 0.6994
- Adding the 7 feature with accuracy: 0.7038
- Adding the 9 feature with accuracy: 0.7002
- Adding the 13 feature with accuracy: 0.7076
- Adding the 14 feature with accuracy: 0.7022
- Adding the 15 feature with accuracy: 0.7018
- Adding the 19 feature with accuracy: 0.7038
- Adding the 21 feature with accuracy: 0.7018
- Adding the 25 feature with accuracy: 0.702
- Adding the 26 feature with accuracy: 0.7122
- Adding the 27 feature with accuracy: 0.702
- Adding the 28 feature with accuracy: 0.7098
- Adding the 29 feature with accuracy: 0.7034
- Adding the 32 feature with accuracy: 0.7068
- Adding the 35 feature with accuracy: 0.7016
- Adding the 36 feature with accuracy: 0.7048
- Adding the 41 feature with accuracy: 0.7044
- Adding the 45 feature with accuracy: 0.7098
- Adding the 47 feature with accuracy: 0.7102
- Adding the 48 feature with accuracy: 0.7036
- Adding the 49 feature with accuracy: 0.7038

**Warning, Accuracy has decreased! Continuing search in case of local maxima**

On level 29, added feature 25 to current set. With current features: [9, 3, 45, 17, 0, 7, 21, 32, 42, 16, 38, 2, 23, 36, 43, 39, 30, 33, 11, 19, 37, 5, 4, 15, 29, 49, 10, 22, 41, 25] and local maximum accuracy 0.7122

On the 30th level of the search tree
- Adding the 2 feature with accuracy: 0.7038
- Adding the 7 feature with accuracy: 0.7052
- Adding the 9 feature with accuracy: 0.7006
- Adding the 13 feature with accuracy: 0.707
- Adding the 14 feature with accuracy: 0.706
- Adding the 15 feature with accuracy: 0.698
- Adding the 19 feature with accuracy: 0.7014
- Adding the 21 feature with accuracy: 0.7068
- Adding the 25 feature with accuracy: 0.7054
- Adding the 27 feature with accuracy: 0.709
- Adding the 28 feature with accuracy: 0.7034
- Adding the 29 feature with accuracy: 0.7004
- Adding the 32 feature with accuracy: 0.7072
- Adding the 35 feature with accuracy: 0.7068
- Adding the 36 feature with accuracy: 0.7034
- Adding the 41 feature with accuracy: 0.7018
- Adding the 45 feature with accuracy: 0.7008
- Adding the 47 feature with accuracy: 0.7022
- Adding the 48 feature with accuracy: 0.6958
- Adding the 49 feature with accuracy: 0.7048

**Warning, Accuracy has decreased! Continuing search in case of local maxima**

On level 30, added feature 26 to current set. With current features: [9, 3, 45, 17, 0, 7, 21, 32, 42, 16, 38, 2, 23, 36, 43, 39, 30, 33, 11, 19, 37, 5, 4, 15, 29, 49, 10, 22, 41, 25, 26] and local maximum accuracy 0.709

On the 31th level of the search tree
- Adding the 2 feature with accuracy: 0.6988
- Adding the 7 feature with accuracy: 0.698
- Adding the 9 feature with accuracy: 0.6962
- Adding the 13 feature with accuracy: 0.7048
- Adding the 14 feature with accuracy: 0.7024
- Adding the 15 feature with accuracy: 0.6954
- Adding the 19 feature with accuracy: 0.7014
- Adding the 21 feature with accuracy: 0.7068
- Adding the 25 feature with accuracy: 0.703
- Adding the 28 feature with accuracy: 0.699
- Adding the 29 feature with accuracy: 0.7008
- Adding the 32 feature with accuracy: 0.7028
- Adding the 35 feature with accuracy: 0.7054
- Adding the 36 feature with accuracy: 0.696
- Adding the 41 feature with accuracy: 0.6974
- Adding the 45 feature with accuracy: 0.6984
- Adding the 47 feature with accuracy: 0.703
- Adding the 48 feature with accuracy: 0.6956
- Adding the 49 feature with accuracy: 0.698

